,id,fecha,date,calidad,hora,minuto,aforo,x_lamina,y_lamina,tipo_salida,tramo,codigo_sensor_nivel,codigo_sensor_vel_sup,tipo_aforo,caudal_total,error_caudal,area_mojada,profundidad_media,perimetro_mojado,dispositivo,error_dispositivo,ancho_superficial,velocidad_promedio,radio_hidraulico,longitud,latitud,texto_1,texto_2,timestamp,updated,offset,item_fk_id,user_id
269,793,2012-11-21,2012-11-21 11:30:00,1.0,11.0,30.0,1.0,,,,,,,,14.771,,14.114,0.676,20.615,MF-PRO,,19.8,1.047,0.685,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
270,794,2013-02-13,2013-02-13 14:30:00,1.0,14.0,30.0,1.0,,,,,,,,11.15,,10.67,0.515,20.691,MF-PRO,,20.0,1.045,0.516,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
271,795,2013-02-13,2013-02-13 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,8.271,,9.76,0.472,20.657,MF-PRO,,20.0,0.847,0.472,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
272,796,2013-02-13,2013-02-13 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,4.539,,7.35,0.355,20.484,MF-PRO,,20.0,0.618,0.359,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
273,797,2013-02-13,2013-02-13 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,24.141,,18.1,0.9,21.769,MF-PRO,,20.0,1.334,0.831,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
274,798,2013-06-26,2013-06-26 10:20:00,1.0,10.0,20.0,1.0,,,,,,,,11.769,,12.812,0.636,20.41,MF-PRO,,19.5,0.919,0.628,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
275,799,2013-07-24,2013-07-24 10:20:00,1.0,10.0,20.0,1.0,,,,,,,,15.206,,13.9,0.686,21.278,MF-PRO,,20.0,1.094,0.653,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
276,800,2013-07-24,2013-07-24 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,8.142,,11.31,0.556,21.0,MF-PRO,,20.0,0.72,0.539,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
277,801,2013-07-24,2013-07-24 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,12.689,,13.03,0.64,21.104,MF-PRO,,20.0,0.974,0.617,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
278,802,2013-09-25,2013-09-25 10:39:00,1.0,10.0,39.0,1.0,,,,,,,,6.792,,11.27,0.555,21.013,MF-PRO,,20.0,0.603,0.536,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
279,803,2014-02-26,2014-02-26 11:25:00,1.0,11.0,25.0,1.0,,,,,,,,8.812,,10.86,0.6,19.209,MF-PRO,,18.0,0.811,0.565,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
280,804,2014-10-15,2014-10-15 11:02:00,1.0,11.0,2.0,1.0,,,,,,,,14.191,,13.54,0.663,21.071,MF-PRO,,20.0,1.048,0.643,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
281,805,2014-10-22,2014-10-22 10:43:00,1.0,10.0,43.0,1.0,,,,,,,,7.958,,13.99,0.679,21.005,MF-PRO,,20.0,0.569,0.666,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
282,806,2014-11-12,2014-11-12 11:34:00,1.0,11.0,34.0,1.0,,,,,,,,13.238,,14.68,0.715,21.272,MF-PRO,,20.0,0.902,0.69,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
283,807,2015-02-24,2015-02-24 03:00:00,0.0,3.0,0.0,1.0,,,,,,,,0.0,,5.71,0.466,12.883,MF-PRO,,12.0,0.0,0.443,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
284,808,2015-03-11,2015-03-11 11:08:00,1.0,11.0,8.0,1.0,,,,,,,,4.39,,6.48,0.496,14.516,MF-PRO,,14.0,0.677,0.446,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
285,809,2016-07-06,2016-07-06 07:36:00,1.0,7.0,36.0,1.0,,,,,,,,10.435,,12.86,0.65,21.265,MF-PRO,,19.9,0.811,0.605,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,320,1
286,810,2004-07-29,2004-07-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.641,,0.79,0.33,2.877,MF-PRO,,2.68,0.811,0.275,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
287,811,2010-04-14,2010-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.484,,0.482,0.082,6.308,MF-PRO,,6.3,1.004,0.076,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
288,812,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.519,,0.581,0.346,2.183,MF-PRO,,1.75,0.893,0.266,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
289,813,2012-10-31,2012-10-31 06:00:00,1.0,6.0,0.0,1.0,,,,,,,,0.69,,0.629,0.357,2.407,MF-PRO,,2.05,1.097,0.261,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
290,814,2013-03-06,2013-03-06 09:00:00,1.0,9.0,0.0,1.0,,,,,,,,0.307,,0.338,0.302,1.691,MF-PRO,,1.2,0.908,0.2,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
291,815,2013-07-31,2013-07-31 09:00:00,1.0,9.0,0.0,1.0,,,,,,,,0.192,,0.333,0.273,1.856,MF-PRO,,1.3,0.577,0.179,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
292,816,2013-09-18,2013-09-18 11:15:00,1.0,11.0,15.0,1.0,,,,,,,,0.287,,0.378,0.308,2.048,MF-PRO,,1.35,0.759,0.185,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
293,817,2014-02-26,2014-02-26 11:11:00,1.0,11.0,11.0,1.0,,,,,,,,0.448,,0.366,0.207,2.055,MF-PRO,,1.8,1.224,0.178,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
294,818,2014-03-12,2014-03-12 11:11:00,1.0,11.0,11.0,1.0,,,,,,,,1.04,,0.837,0.372,3.002,MF-PRO,,2.7,1.243,0.279,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
295,819,2014-11-05,2014-11-05 07:40:00,1.0,7.0,40.0,1.0,,,,,,,,0.356,,0.425,0.312,2.176,MF-PRO,,1.9,0.838,0.195,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
296,820,2015-04-08,2015-04-08 12:26:00,1.0,12.0,26.0,1.0,,,,,,,,0.273,,0.187,0.212,1.281,MF-PRO,,1.0,1.46,0.146,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
297,821,2016-06-15,2016-06-15 10:15:00,1.0,10.0,15.0,1.0,,,,,,,,0.281,,0.195,0.158,1.535,MF-PRO,,1.45,1.441,0.127,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,321,1
298,822,2013-06-19,2013-06-19 06:15:00,1.0,6.0,15.0,1.0,,,,,,,,0.145,,0.378,0.155,2.864,MF-PRO,,2.8,0.384,0.132,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,322,1
299,823,2014-11-05,2014-11-05 06:45:00,1.0,6.0,45.0,1.0,,,,,,,,0.116,,0.313,0.178,2.105,MF-PRO,,1.75,0.371,0.149,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,322,1
300,824,2010-03-17,2010-03-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.076,,0.181,0.127,1.715,MF-PRO,,1.67,0.42,0.106,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
301,825,2010-04-28,2010-04-28 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.207,,0.34,0.23,1.905,MF-PRO,,1.7,0.609,0.178,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
302,826,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.182,,0.22,0.131,1.89,MF-PRO,,1.75,0.827,0.116,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
303,827,2012-10-24,2012-10-24 10:20:00,1.0,10.0,20.0,1.0,,,,,,,,0.205,,0.324,0.198,1.961,MF-PRO,,1.6,0.633,0.165,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
304,828,2013-09-18,2013-09-18 07:05:00,1.0,7.0,5.0,1.0,,,,,,,,0.201,,0.37,0.143,2.569,MF-PRO,,2.4,0.543,0.144,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
305,829,2014-10-22,2014-10-22 07:45:00,1.0,7.0,45.0,1.0,,,,,,,,0.171,,0.305,0.201,1.902,MF-PRO,,1.5,0.561,0.16,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
306,830,2016-06-15,2016-06-15 07:40:00,1.0,7.0,40.0,1.0,,,,,,,,0.112,,0.266,0.16,1.878,MF-PRO,,1.7,0.421,0.142,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,323,1
307,831,2004-04-14,2004-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.071,,2.52,0.315,9.079,MF-PRO,,9.0,0.425,0.278,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
308,832,2004-04-28,2004-04-28 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.437,,2.675,0.29,9.478,MF-PRO,,9.0,0.537,0.282,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
309,833,2004-05-12,2004-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.71,,2.964,0.328,10.173,MF-PRO,,10.1,0.577,0.291,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
310,834,2010-03-23,2010-03-23 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.486,,0.954,0.201,5.306,MF-PRO,,5.0,0.509,0.18,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
311,835,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.678,,2.192,0.244,9.744,MF-PRO,,9.7,0.766,0.225,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
312,836,2012-10-31,2012-10-31 08:30:00,1.0,8.0,30.0,1.0,,,,,,,,2.667,,3.414,0.387,9.497,MF-PRO,,9.4,0.781,0.359,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
313,837,2012-11-14,2012-11-14 06:15:00,1.0,6.0,15.0,1.0,,,,,,,,1.443,,2.107,0.409,6.113,MF-PRO,,5.6,0.685,0.345,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
314,838,2013-03-06,2013-03-06 06:10:00,1.0,6.0,10.0,1.0,,,,,,,,0.956,,2.067,0.288,7.663,MF-PRO,,7.4,0.463,0.27,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
315,839,2013-03-06,2013-03-06 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.909,,1.576,0.225,8.041,MF-PRO,,8.0,0.577,0.196,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
316,840,2013-09-18,2013-09-18 09:10:00,1.0,9.0,10.0,1.0,,,,,,,,1.395,,2.08,0.274,8.264,MF-PRO,,8.0,0.671,0.252,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
317,841,2014-11-05,2014-11-05 05:35:00,1.0,5.0,35.0,1.0,,,,,,,,0.719,,1.016,0.237,4.77,MF-PRO,,4.5,0.708,0.213,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
318,842,2015-04-08,2015-04-08 12:25:00,1.0,12.0,25.0,1.0,,,,,,,,4.789,,5.115,0.485,10.537,MF-PRO,,10.0,0.936,0.485,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
319,843,2015-02-09,2015-02-09 06:20:00,0.0,6.0,20.0,1.0,,,,,,,,0.63,,3.653,0.365,10.579,MF-PRO,,10.3,0.172,0.345,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
320,844,2016-06-15,2016-06-15 06:20:00,1.0,6.0,20.0,1.0,,,,,,,,1.492,,2.841,0.303,10.182,MF-PRO,,9.8,0.525,0.279,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,324,1
321,845,2004-08-26,2004-08-26 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.068,,0.294,0.109,3.042,MF-PRO,,3.0,0.231,0.097,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,325,1
322,846,2004-11-03,2004-11-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.355,,0.445,0.171,3.351,MF-PRO,,3.3,0.798,0.133,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
323,847,2004-12-05,2004-12-05 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.858,,0.887,0.104,8.265,MF-PRO,,8.2,0.967,0.107,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
324,848,2006-08-05,2006-08-05 06:30:00,1.0,6.0,30.0,1.0,,,,,,,,1.567,,1.552,0.323,5.438,MF-PRO,,5.1,1.01,0.285,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
325,849,2006-11-06,2006-11-06 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.941,,1.596,0.296,6.102,MF-PRO,,6.0,1.216,0.262,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
326,850,2006-08-08,2006-08-08 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.387,,1.295,0.255,5.427,MF-PRO,,5.0,0.299,0.239,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
327,851,2006-08-15,2006-08-15 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.414,,1.41,0.251,5.888,MF-PRO,,5.5,0.294,0.239,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
328,852,2006-08-28,2006-08-28 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.313,,1.52,0.249,6.42,MF-PRO,,6.0,0.206,0.237,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
329,853,2010-03-17,2010-03-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.117,,0.415,0.139,3.451,MF-PRO,,3.4,0.282,0.12,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
330,854,2010-04-21,2010-04-21 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.528,,0.642,0.357,2.557,MF-PRO,,2.1,0.822,0.251,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
331,855,2010-05-04,2010-05-04 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.756,,0.937,0.484,2.824,MF-PRO,,2.1,0.807,0.332,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
332,856,2010-03-23,2010-03-23 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.207,,0.33,0.186,2.378,MF-PRO,,2.0,0.627,0.139,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
333,857,2010-04-14,2010-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.499,,0.995,0.285,3.665,MF-PRO,,3.5,0.502,0.271,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
334,858,2012-10-10,2012-10-10 06:00:00,1.0,6.0,0.0,1.0,,,,,,,,0.366,,0.413,0.154,3.061,MF-PRO,,2.9,0.886,0.135,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
335,859,2012-10-24,2012-10-24 08:30:00,1.0,8.0,30.0,1.0,,,,,,,,1.912,,1.699,0.388,5.302,MF-PRO,,4.9,1.125,0.32,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
336,860,2012-11-14,2012-11-14 06:15:00,1.0,6.0,15.0,1.0,,,,,,,,0.846,,0.907,0.189,4.961,MF-PRO,,4.8,0.933,0.183,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
337,861,2012-11-21,2012-11-21 06:25:00,1.0,6.0,25.0,1.0,,,,,,,,0.651,,0.691,0.24,3.261,MF-PRO,,3.0,0.942,0.212,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
338,862,2013-02-13,2013-02-13 07:30:00,1.0,7.0,30.0,1.0,,,,,,,,0.441,,0.652,0.147,4.739,MF-PRO,,4.7,0.676,0.138,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
339,863,2013-02-27,2013-02-27 06:38:00,1.0,6.0,38.0,1.0,,,,,,,,0.462,,0.772,0.172,4.843,MF-PRO,,4.8,0.598,0.159,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
340,864,2013-04-17,2013-04-17 06:38:00,1.0,6.0,38.0,1.0,,,,,,,,0.417,,0.679,0.172,4.307,MF-PRO,,4.25,0.614,0.158,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
341,865,2013-05-22,2013-05-22 06:38:00,1.0,6.0,38.0,1.0,,,,,,,,1.791,,2.11,0.59,4.536,MF-PRO,,3.5,0.849,0.465,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
342,866,2013-05-19,2013-05-19 06:10:00,1.0,6.0,10.0,1.0,,,,,,,,0.808,,0.99,0.258,4.236,MF-PRO,,4.0,0.816,0.234,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
343,867,2013-06-26,2013-06-26 06:38:00,1.0,6.0,38.0,1.0,,,,,,,,0.684,,0.821,0.207,4.214,MF-PRO,,4.15,0.833,0.195,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
344,868,2013-07-24,2013-07-24 06:38:00,1.0,6.0,38.0,1.0,,,,,,,,0.427,,0.686,0.21,3.855,MF-PRO,,3.6,0.622,0.178,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
345,869,2013-08-14,2013-08-14 06:38:00,1.0,6.0,38.0,1.0,,,,,,,,0.41,,0.517,0.157,3.648,MF-PRO,,3.5,0.793,0.142,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
346,870,2013-09-25,2013-09-25 08:24:00,1.0,8.0,24.0,1.0,,,,,,,,0.402,,0.68,0.199,3.674,MF-PRO,,3.3,0.591,0.185,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
347,871,2014-02-19,2014-02-19 06:20:00,1.0,6.0,20.0,1.0,,,,,,,,0.257,,0.355,0.288,1.715,MF-PRO,,1.2,0.724,0.207,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
348,872,2014-02-26,2014-02-26 06:15:00,1.0,6.0,15.0,1.0,,,,,,,,0.474,,0.746,0.225,3.677,MF-PRO,,3.3,0.635,0.203,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
349,873,2014-04-09,2014-04-09 06:20:00,1.0,6.0,20.0,1.0,,,,,,,,0.398,,0.548,0.252,2.537,MF-PRO,,2.1,0.726,0.216,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
350,874,2014-05-21,2014-05-21 06:30:00,1.0,6.0,30.0,1.0,,,,,,,,0.293,,0.345,0.143,2.687,MF-PRO,,2.4,0.849,0.128,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
351,875,2014-05-21,2014-05-21 13:00:00,1.0,13.0,0.0,1.0,,,,,,,,0.557,,0.631,0.152,3.882,MF-PRO,,3.6,0.883,0.163,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
352,876,2014-05-22,2014-05-22 06:20:00,1.0,6.0,20.0,1.0,,,,,,,,0.554,,0.641,0.143,3.97,MF-PRO,,3.8,0.864,0.161,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
353,877,2014-05-22,2014-05-22 13:15:00,1.0,13.0,15.0,1.0,,,,,,,,0.546,,0.635,0.145,3.957,MF-PRO,,3.8,0.86,0.16,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
354,878,2014-05-12,2014-05-12 07:47:00,1.0,7.0,47.0,1.0,,,,,,,,0.442,,0.572,0.167,3.89,MF-PRO,,3.8,0.773,0.147,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
355,879,2014-10-15,2014-10-15 06:08:00,1.0,6.0,8.0,1.0,,,,,,,,0.54,,0.753,0.251,3.55,MF-PRO,,3.0,0.717,0.212,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
356,880,2014-10-22,2014-10-22 06:02:00,1.0,6.0,2.0,1.0,,,,,,,,0.495,,0.668,0.241,3.238,MF-PRO,,2.75,0.741,0.206,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
357,881,2014-11-12,2014-11-12 06:25:00,1.0,6.0,25.0,1.0,,,,,,,,1.002,,0.968,0.299,3.868,MF-PRO,,3.5,1.035,0.25,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
358,882,2015-12-24,2015-12-24 10:30:00,1.0,10.0,30.0,1.0,,,,,,,,0.308,,0.388,0.221,2.202,MF-PRO,,1.75,0.794,0.176,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
359,883,2015-03-11,2015-03-11 06:04:00,1.0,6.0,4.0,1.0,,,,,,,,0.343,,0.606,0.23,3.371,MF-PRO,,3.0,0.566,0.18,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
360,884,2015-06-05,2015-06-05 10:20:00,1.0,10.0,20.0,1.0,,,,,,,,0.196,,0.318,0.204,1.837,MF-PRO,,1.5,0.616,0.173,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
361,885,2015-05-08,2015-05-08 05:54:00,1.0,5.0,54.0,1.0,,,,,,,,0.267,,0.376,0.178,2.454,MF-PRO,,2.1,0.71,0.153,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
362,886,2016-02-25,2016-02-25 12:41:00,1.0,12.0,41.0,1.0,,,,,,,,0.344,,0.862,0.308,3.196,MF-PRO,,2.7,0.399,0.27,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
363,887,2016-07-06,2016-07-06 09:51:00,1.0,9.0,51.0,1.0,,,,,,,,0.337,,0.572,0.189,3.266,MF-PRO,,2.96,0.589,0.175,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
364,888,2016-07-26,2016-07-26 06:58:00,1.0,6.0,58.0,1.0,,,,,,,,0.501,,0.749,0.371,2.704,MF-PRO,,2.0,0.669,0.277,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,326,1
365,889,2013-04-03,2013-04-03 12:05:00,1.0,12.0,5.0,1.0,,,,,,,,1.6,,1.94,0.109,19.015,MF-PRO,,19.0,0.825,0.102,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,327,1
366,890,2015-06-05,2015-06-05 12:10:00,1.0,12.0,10.0,1.0,,,,,,,,1.402,,1.932,0.258,7.215,MF-PRO,,7.0,0.726,0.268,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,327,1
367,891,2004-08-03,2004-08-03 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.169,,0.81,0.261,3.724,MF-PRO,,3.3,0.209,0.218,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,328,1
368,892,2013-03-06,2013-03-06 06:10:00,1.0,6.0,10.0,1.0,,,,,,,,2.568,,2.005,0.491,5.025,MF-PRO,,4.5,1.281,0.399,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,328,1
369,893,2014-03-12,2014-03-12 05:50:00,1.0,5.0,50.0,1.0,,,,,,,,0.263,,0.533,0.193,3.018,MF-PRO,,2.7,0.493,0.177,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,328,1
370,894,2016-06-15,2016-06-15 08:12:00,1.0,8.0,12.0,1.0,,,,,,,,0.208,,0.653,0.243,3.153,MF-PRO,,2.65,0.319,0.207,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,328,1
371,895,2004-08-26,2004-08-26 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.102,,0.308,0.144,2.403,MF-PRO,,2.2,0.331,0.128,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,329,1
372,896,2004-03-11,2004-03-11 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,64.758,,44.447,1.166,36.087,MF-PRO,,35.0,1.457,1.232,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
373,897,2004-03-17,2004-03-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,49.198,,35.972,1.074,31.6,MF-PRO,,31.0,1.368,1.138,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
374,898,2004-04-14,2004-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,50.858,,41.047,1.149,35.097,MF-PRO,,34.5,1.239,1.17,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
375,899,2004-04-28,2004-04-28 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,39.88,,34.193,1.174,28.991,MF-PRO,,28.5,1.166,1.179,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
376,900,2004-05-12,2004-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,32.013,,29.985,1.156,26.883,MF-PRO,,26.5,1.068,1.115,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
377,901,2006-05-08,2006-05-08 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,97.815,,55.22,2.971,25.182,MF-PRO,,20.0,1.771,2.193,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
378,902,2006-05-30,2006-05-30 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,59.371,,53.885,2.599,25.26,MF-PRO,,22.0,1.102,2.133,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
379,903,2006-06-11,2006-06-11 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,89.642,,60.86,2.657,27.569,MF-PRO,,24.0,1.473,2.208,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
380,904,2006-07-17,2006-07-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,54.147,,56.21,2.191,27.663,MF-PRO,,26.0,0.963,2.032,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
381,905,2006-07-24,2006-07-24 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,34.622,,49.02,1.671,29.718,MF-PRO,,28.0,0.706,1.65,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
382,906,2006-07-30,2006-07-30 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,24.478,,46.12,1.561,30.24,MF-PRO,,29.0,0.531,1.525,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
383,907,2006-08-08,2006-08-08 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,63.523,,61.14,2.113,30.215,MF-PRO,,28.0,1.039,2.023,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
384,908,2006-08-15,2006-08-15 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,52.975,,60.54,1.929,32.665,MF-PRO,,31.0,0.875,1.853,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,330,1
