,id,fecha,date,calidad,hora,minuto,aforo,x_lamina,y_lamina,tipo_salida,tramo,codigo_sensor_nivel,codigo_sensor_vel_sup,tipo_aforo,caudal_total,error_caudal,area_mojada,profundidad_media,perimetro_mojado,dispositivo,error_dispositivo,ancho_superficial,velocidad_promedio,radio_hidraulico,longitud,latitud,texto_1,texto_2,timestamp,updated,offset,item_fk_id,user_id
176,700,2015-02-24,2015-02-24 11:15:00,1.0,11.0,15.0,1.0,,,,,,,,1.069,,1.001,0.188,5.663,MF-PRO,,5.5,1.068,0.177,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,304,1
177,701,2016-02-25,2016-02-25 06:39:00,1.0,6.0,39.0,1.0,,,,,,,,0.729,,0.902,0.185,5.46,MF-PRO,,5.3,0.808,0.165,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,304,1
178,702,2016-02-25,2016-02-25 13:33:00,1.0,13.0,33.0,1.0,,,,,,,,0.731,,1.0,0.183,5.89,MF-PRO,,5.5,0.731,0.17,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,304,1
179,703,2016-07-06,2016-07-06 10:55:00,1.0,10.0,55.0,1.0,,,,,,,,0.929,,0.914,0.213,4.676,MF-PRO,,4.45,1.016,0.195,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,304,1
180,704,2016-07-26,2016-07-26 07:45:00,1.0,7.0,45.0,1.0,,,,,,,,1.109,,1.568,0.43,4.377,MF-PRO,,3.6,0.707,0.358,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,304,1
181,705,2004-07-29,2004-07-29 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.094,,0.368,0.178,2.765,MF-PRO,,2.7,0.255,0.133,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,305,1
182,706,2010-03-23,2010-03-23 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.011,,0.06,0.054,1.333,MF-PRO,,1.25,0.183,0.045,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,305,1
183,707,2013-09-18,2013-09-18 08:36:00,1.0,8.0,36.0,1.0,,,,,,,,0.15,,0.095,0.08,1.52,MF-PRO,,1.5,1.579,0.062,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,305,1
184,708,2015-03-11,2015-03-11 10:14:00,1.0,10.0,14.0,1.0,,,,,,,,0.068,,0.082,0.09,1.095,MF-PRO,,1.0,0.829,0.075,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,305,1
185,709,2004-08-03,2004-08-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,1.278,,2.542,0.228,11.167,MF-PRO,,10.8,0.503,0.228,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
186,710,2010-03-23,2010-03-23 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.394,,1.505,0.205,8.545,MF-PRO,,8.5,0.262,0.176,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
187,711,2010-05-12,2010-05-12 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,0.345,,0.512,0.23,2.642,MF-PRO,,2.1,0.674,0.194,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
188,712,2012-10-31,2012-10-31 12:00:00,1.0,12.0,0.0,1.0,,,,,,,,1.692,,1.934,0.309,6.787,MF-PRO,,6.2,0.875,0.285,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
189,713,2013-03-06,2013-03-06 10:50:00,1.0,10.0,50.0,1.0,,,,,,,,1.518,,1.825,0.251,7.391,MF-PRO,,7.0,0.832,0.247,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
190,714,2013-07-31,2013-07-31 10:20:00,1.0,10.0,20.0,1.0,,,,,,,,1.294,,1.456,0.171,8.203,MF-PRO,,8.0,0.889,0.177,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
191,715,2013-09-18,2013-09-18 09:20:00,1.0,9.0,20.0,1.0,,,,,,,,1.355,,2.186,0.237,9.411,MF-PRO,,9.0,0.62,0.232,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
192,716,2014-03-12,2014-03-12 13:00:00,0.0,13.0,0.0,1.0,,,,,,,,1.139,,1.82,0.207,8.26,MF-PRO,,8.0,0.626,0.22,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
193,717,2014-11-05,2014-11-05 09:35:00,0.0,9.0,35.0,1.0,,,,,,,,1.116,,1.272,0.247,5.444,MF-PRO,,5.0,0.877,0.234,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
194,718,2015-04-08,2015-04-08 09:30:00,1.0,9.0,30.0,1.0,,,,,,,,1.116,,1.272,0.247,5.444,MF-PRO,,5.0,0.877,0.234,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
195,719,2016-06-15,2016-06-15 10:50:00,1.0,10.0,50.0,1.0,,,,,,,,1.116,,1.272,0.247,5.444,MF-PRO,,5.0,0.877,0.234,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,306,1
196,720,2004-08-03,2004-08-03 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.128,,0.637,0.145,5.044,MF-PRO,,5.0,0.201,0.126,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,307,1
197,721,2010-05-12,2010-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.223,,0.697,0.152,5.004,MF-PRO,,4.8,0.32,0.139,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,307,1
198,722,2010-04-21,2010-04-21 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,0.258,,0.568,0.121,5.169,MF-PRO,,5.0,0.454,0.11,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,307,1
199,723,2015-02-09,2015-02-09 06:23:00,1.0,6.0,23.0,1.0,,,,,,,,0.074,,0.375,0.137,3.075,MF-PRO,,2.75,0.197,0.122,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,307,1
200,724,2012-10-31,2012-10-31 05:45:00,1.0,5.0,45.0,1.0,,,,,,,,0.075,,0.238,0.161,1.94,MF-PRO,,1.7,0.315,0.123,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
201,725,2013-03-06,2013-03-06 08:50:00,1.0,8.0,50.0,1.0,,,,,,,,0.096,,0.25,0.151,2.003,MF-PRO,,1.8,0.384,0.125,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
202,726,2013-07-31,2013-07-31 14:00:00,0.0,14.0,0.0,1.0,,,,,,,,0.098,,0.165,0.132,1.425,MF-PRO,,1.2,0.594,0.116,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
203,727,2013-09-18,2013-09-18 05:10:00,0.0,5.0,10.0,1.0,,,,,,,,0.061,,0.149,0.09,1.622,MF-PRO,,1.5,0.409,0.092,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
204,728,2014-03-12,2014-03-12 08:20:00,1.0,8.0,20.0,1.0,,,,,,,,0.158,,0.354,0.207,2.663,MF-PRO,,1.8,0.446,0.133,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
205,729,2014-11-05,2014-11-05 10:35:00,1.0,10.0,35.0,1.0,,,,,,,,0.087,,0.232,0.149,1.741,MF-PRO,,1.5,0.375,0.133,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
206,730,2015-04-08,2015-04-08 09:44:00,1.0,9.0,44.0,1.0,,,,,,,,0.111,,0.21,0.075,2.95,MF-PRO,,2.8,0.529,0.071,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
207,731,2015-02-09,2015-02-09 07:11:00,1.0,7.0,11.0,1.0,,,,,,,,0.077,,0.234,0.098,2.601,MF-PRO,,2.4,0.329,0.09,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,308,1
208,732,2004-05-12,2004-05-12 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,20.976,,25.725,1.391,20.223,MF-PRO,,18.0,0.815,1.272,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
209,733,2010-03-23,2010-03-23 00:00:00,0.0,0.0,0.0,1.0,,,,,,,,4.172,,18.75,1.042,21.326,MF-PRO,,21.0,0.223,0.879,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
210,734,2010-04-14,2010-04-14 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,16.031,,27.75,1.244,22.539,MF-PRO,,21.0,0.578,1.231,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
211,735,2010-04-28,2010-04-28 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,23.262,,22.23,1.059,24.246,MF-PRO,,24.0,1.046,0.917,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
212,736,2010-03-17,2010-03-17 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,5.961,,16.53,0.88,20.251,MF-PRO,,20.0,0.361,0.816,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
213,737,2010-04-21,2010-04-21 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,10.691,,18.24,0.924,18.967,MF-PRO,,18.0,0.586,0.962,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
214,738,2010-05-04,2010-05-04 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,45.92,,36.845,1.652,23.305,MF-PRO,,21.0,1.246,1.581,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
215,739,2012-10-24,2012-10-24 08:15:00,1.0,8.0,15.0,1.0,,,,,,,,26.184,,29.725,1.45,23.314,MF-PRO,,22.55,0.881,1.275,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
216,740,2012-11-14,2012-11-14 07:45:00,1.0,7.0,45.0,1.0,,,,,,,,16.446,,20.35,1.378,16.485,MF-PRO,,14.0,0.808,1.234,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
217,741,2013-02-13,2013-02-13 11:00:00,1.0,11.0,0.0,1.0,,,,,,,,14.27,,20.15,1.194,19.51,MF-PRO,,18.0,0.708,1.033,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
218,742,2013-02-27,2013-02-27 07:30:00,1.0,7.0,30.0,1.0,,,,,,,,14.912,,21.3,1.139,20.875,MF-PRO,,19.4,0.7,1.02,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
219,743,2013-02-27,2013-02-27 00:00:00,1.0,0.0,0.0,1.0,,,,,,,,14.723,,21.52,1.024,23.185,MF-PRO,,22.0,0.684,0.928,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
220,744,2013-05-22,2013-05-22 10:20:00,1.0,10.0,20.0,1.0,,,,,,,,60.77,,46.36,1.874,26.677,MF-PRO,,24.0,1.311,1.738,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
221,745,2013-06-19,2013-06-19 10:00:00,1.0,10.0,0.0,1.0,,,,,,,,25.167,,31.67,1.105,29.395,MF-PRO,,29.0,0.795,1.077,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
222,746,2013-06-26,2013-06-26 09:40:00,1.0,9.0,40.0,1.0,,,,,,,,22.234,,31.865,1.206,28.143,MF-PRO,,27.7,0.698,1.132,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
223,747,2013-07-24,2013-07-24 09:00:00,1.0,9.0,0.0,1.0,,,,,,,,16.033,,20.72,1.101,21.478,MF-PRO,,20.0,0.774,0.965,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
224,748,2013-08-14,2013-08-14 10:15:00,1.0,10.0,15.0,1.0,,,,,,,,23.551,,26.4,1.273,23.853,MF-PRO,,22.0,0.892,1.107,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
225,749,2013-09-25,2013-09-25 08:37:00,2.0,8.0,37.0,1.0,,,,,,,,21.028,,26.69,1.156,29.323,MF-PRO,,28.8,0.788,0.91,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
226,750,2014-02-26,2014-02-26 07:15:00,2.0,7.0,15.0,1.0,,,,,,,,9.202,,15.12,0.982,16.537,MF-PRO,,15.0,0.609,0.914,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
227,751,2014-10-22,2014-10-22 09:12:00,1.0,9.0,12.0,1.0,,,,,,,,23.419,,27.425,1.283,24.715,MF-PRO,,23.1,0.854,1.11,,,,,2019-02-06 12:39:12,2019-02-06 12:39:12,,309,1
